start_time,activity,end_time,time_span,sequence_in_a_day,label
2009/2/2 7:15,R1_Bed_to_Toilet,2009/2/2 7:21,347,1,1
2009/2/2 7:21,R1_Personal_Hygiene,2009/2/2 7:38,1050,1,1
2009/2/2 7:47,Meal_Preparation,2009/2/2 7:55,485,1,1
2009/2/2 10:19,Meal_Preparation,2009/2/2 10:41,1322,2,1
2009/2/2 11:41,Watch_TV,2009/2/2 12:31,2968,1,1
2009/2/2 14:29,R1_Work,2009/2/2 17:37,11299,1,1
2009/2/2 17:47,Meal_Preparation,2009/2/2 18:56,4177,3,1
2009/2/2 19:00,R1_Work,2009/2/2 19:30,1789,2,1
2009/2/2 22:10,R1_Sleep,2009/2/3 5:57,27987,1,1
2009/2/3 7:29,R1_Bed_to_Toilet,2009/2/3 7:35,374,1,1
2009/2/3 8:06,Meal_Preparation,2009/2/3 17:57,35486,1,0
2009/2/3 17:57,R1_Work,2009/2/3 19:10,4346,1,1
2009/2/3 18:01,Watch_TV,2009/2/3 19:10,4140,1,1
2009/2/3 22:25,R1_Sleep,2009/2/4 5:56,27048,1,1
2009/2/4 7:01,Meal_Preparation,2009/2/4 7:40,2319,1,1
2009/2/4 7:26,R1_Bed_to_Toilet,2009/2/4 7:40,843,1,1
2009/2/4 7:40,R1_Personal_Hygiene,2009/2/4 7:46,390,1,1
2009/2/4 7:53,Meal_Preparation,2009/2/4 8:14,1238,2,1
2009/2/4 10:31,Meal_Preparation,2009/2/4 10:45,799,3,1
2009/2/4 10:52,Meal_Preparation,2009/2/4 11:58,3985,4,1
2009/2/4 17:15,Watch_TV,2009/2/4 19:34,8333,1,1
2009/2/4 21:05,R1_Work,2009/2/4 22:48,6161,1,1
2009/2/4 22:55,R1_Sleep,2009/2/5 6:51,28562,1,1
2009/2/5 6:51,R1_Bed_to_Toilet,2009/2/5 7:12,1262,1,1
2009/2/5 7:23,Meal_Preparation,2009/2/5 7:24,52,1,1
2009/2/5 8:05,Meal_Preparation,2009/2/5 8:12,458,2,1
2009/2/5 8:26,Watch_TV,2009/2/5 9:46,4834,1,1
2009/2/5 12:13,Meal_Preparation,2009/2/5 12:41,1672,3,1
2009/2/5 18:38,R1_Work,2009/2/5 21:50,11567,1,1
2009/2/5 18:42,Meal_Preparation,2009/2/5 18:46,232,4,1
2009/2/5 23:06,R1_Personal_Hygiene,2009/2/5 23:10,236,1,1
2009/2/5 23:11,R1_Sleep,2009/2/6 7:33,30119,1,1
2009/2/6 7:33,R1_Bed_to_Toilet,2009/2/6 7:53,1196,1,1
2009/2/6 7:34,R1_Personal_Hygiene,2009/2/6 7:54,1177,1,1
2009/2/6 8:04,Meal_Preparation,2009/2/6 8:25,1268,1,1
2009/2/6 9:30,Meal_Preparation,2009/2/6 9:59,1750,2,1
2009/2/6 11:09,Meal_Preparation,2009/2/6 11:28,1151,3,1
2009/2/6 14:28,R1_Work,2009/2/6 14:56,1659,1,1
2009/2/6 15:09,Meal_Preparation,2009/2/6 15:28,1161,4,1
2009/2/6 17:15,R1_Work,2009/2/6 17:47,1914,2,1
2009/2/6 20:01,R1_Work,2009/2/6 22:12,7854,3,0
2009/2/6 23:52,R1_Sleep,2009/2/7 8:23,30623,1,1
2009/2/9 7:49,R1_Bed_to_Toilet,2009/2/9 7:52,182,1,1
2009/2/9 7:49,R1_Personal_Hygiene,2009/2/9 8:09,1180,1,1
2009/2/9 8:23,Meal_Preparation,2009/2/9 8:30,438,1,1
2009/2/9 9:37,Meal_Preparation,2009/2/9 10:02,1447,2,1
2009/2/9 15:40,R1_Work,2009/2/9 18:32,10309,1,1
2009/2/9 18:33,Meal_Preparation,2009/2/9 18:45,721,3,1
2009/2/9 18:46,R1_Work,2009/2/9 19:31,2695,2,1
2009/2/9 20:07,Watch_TV,2009/2/9 23:55,13699,1,1
2009/2/9 20:40,R1_Personal_Hygiene,2009/2/9 20:45,301,2,1
2009/2/9 20:45,R1_Sleep,2009/2/10 9:21,45361,1,0
2009/2/10 10:13,Meal_Preparation,2009/2/10 10:32,1159,1,1
2009/2/10 10:28,R1_Bed_to_Toilet,2009/2/10 10:41,808,1,1
2009/2/10 11:00,R1_Work,2009/2/10 11:09,539,1,1
2009/2/10 11:11,Meal_Preparation,2009/2/10 11:19,507,2,1
2009/2/10 11:51,R1_Personal_Hygiene,2009/2/10 11:56,261,1,1
2009/2/10 13:05,Meal_Preparation,2009/2/10 17:42,16619,3,0
